availability, basedUpon, checkSum, fileName, fileSize, isForced, name, requires, system, type, url, version
forDeliveringThroughApi, , 2BA8CBA773B8E744139B83381EA8348B, BMW_ISPI_ISTA-DATA_DELTA_el-GR_4.10.30.istapackage, 102335, False, BMW_ISPI_ISTA-DATA_DELTA_el-GR_4.10.30, , ISTA NF, 1, http://127.0.0.1, 4.10.30
forDeliveringThroughApi, , 008FDD10607A9A80133B303B28BB3094, BMW_ISPI_ISTA-DATA_DELTA_el-GR_4.10.31.istapackage, 20817290, False, BMW_ISPI_ISTA-DATA_DELTA_el-GR_4.10.31, , ISTA NF, 1, http://127.0.0.1, 4.10.31
forDeliveringThroughApi, , E554A47D950D88019859FF92B9F43266, BMW_ISPI_ISTA-DATA_DELTA_el-GR_4.10.40.istapackage, 44991984, False, BMW_ISPI_ISTA-DATA_DELTA_el-GR_4.10.40, , ISTA NF, 1, http://127.0.0.1, 4.10.40
forDeliveringThroughApi, , 8D1B61549959DC69112869985FB4C5E0, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.20.istapackage, 469591, False, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.20, , ISTA NF, 1, http://127.0.0.1, 4.10.20
forDeliveringThroughApi, , A309C329AC120E35A87E0E94E9A1C060, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.30.istapackage, 102677, False, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.30, , ISTA NF, 1, http://127.0.0.1, 4.10.30
forDeliveringThroughApi, , 4AACFAF61D77005498CFCA9E100BC2A3, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.31.istapackage, 20840925, False, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.31, , ISTA NF, 1, http://127.0.0.1, 4.10.31
forDeliveringThroughApi, , 05E00F7992F6FCB5830CADE0155D0F78, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.40.istapackage, 45053972, False, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.10.40, , ISTA NF, 1, http://127.0.0.1, 4.10.40
forDeliveringThroughApi, , A90CAB6383C37405E482981BE6683D82, BMW_ISPI_ISTA-DATA_el-GR_4.10.12.istapackage, 862799200, False, BMW_ISPI_ISTA-DATA_el-GR_4.10.12, , ISTA NF, 1, http://127.0.0.1, 4.10.12
forDeliveringThroughApi, , CD338C5F2810C8FDCD848C9F66A07B37, BMW_ISPI_ISTA-DATA_en-GB_4.10.12.istapackage, 1347781540, False, BMW_ISPI_ISTA-DATA_en-GB_4.10.12, , ISTA NF, 1, http://127.0.0.1, 4.10.12
forDeliveringThroughApi, , F18D70F673BB43BBB560B79D70271CBD, BMW_ISPI_ISTA-DATA_GLOBAL_4.10.12.istapackage, 13817861138, False, BMW_ISPI_ISTA-DATA_GLOBAL_4.10.12, , ISTA NF, 1, http://127.0.0.1, 4.10.12
forDeliveringThroughApi, , 671E3A36DF585F13D459809518D2F7E2, BMW_ISPI_ISTA-LAUNCHER_1.11.0.3369.exe, 84098080, False, BMW_ISPI_ISTA-LAUNCHER_1.11.0.3369, , ISTA Launcher, 1, http://127.0.0.1, 1.11.0.3369
forDeliveringThroughApi, , B9847C77F5FE8995392EDB917792CC19, BMW_ISPI_ISTA-LAUNCHER_1.14.2.3776.exe, 84138568, False, BMW_ISPI_ISTA-LAUNCHER_1.14.2.3776, , ISTA Launcher, 1, http://127.0.0.1, 1.14.2.3776
forDeliveringThroughApi, , 9AA252D965BC4BDA0615A175FDA28396, BMW_ISPI_ISTA-META_4.10.14.xml, 9094, False, BMW_ISPI_ISTA-META_4.10.14, , ISTA Launcher, 1, http://127.0.0.1, 4.10.14
forDeliveringThroughApi, , 74CBF1E502410A400DCC0282B54EF782, BMW_ISPI_ISTA-META_4.10.20.xml, 18250, False, BMW_ISPI_ISTA-META_4.10.20, , ISTA Launcher, 1, http://127.0.0.1, 4.10.20
forDeliveringThroughApi, , F662E20189321445FA8834C5682792E5, BMW_ISPI_ISTA-META_4.10.31.xml, 38838, False, BMW_ISPI_ISTA-META_4.10.31, , ISTA Launcher, 1, http://127.0.0.1, 4.10.31
forDeliveringThroughApi, , 2FC41BA7262395D22339C7183B3D8210, BMW_ISPI_ISTA-META_4.10.41.xml, 50272, False, BMW_ISPI_ISTA-META_4.10.41, , ISTA Launcher, 1, http://127.0.0.1, 4.10.41
forDeliveringThroughApi, , 9849C8954CDB08CD2482543A5EB21BB3, BMW_ISPI_ISTA-META_SDP_4.10.13.xml, 1421, False, BMW_ISPI_ISTA-META_SDP_4.10.13, , ISTA Launcher, 1, http://127.0.0.1, 4.10.13
forDeliveringThroughApi, , 3292828371E6D9D424C1A2BE85475E02, BMW_ISPI_ISTA-META_SDP_4.10.13b.xml, 1421, False, BMW_ISPI_ISTA-META_SDP_4.10.13b, , ISTA Launcher, 1, http://127.0.0.1, 4.10.13b
forDeliveringThroughApi, , 3DF4CFA798D419539A11582FF5F2E692, BMW_ISPI_ISTA-META_SDP_4.10.14.xml, 1109, False, BMW_ISPI_ISTA-META_SDP_4.10.14, , ISTA Launcher, 1, http://127.0.0.1, 4.10.14
forDeliveringThroughApi, , A162A3D451B975B6086A3E2F8F48BE50, BMW_ISPI_ISTA-META_SDP_4.10.20.xml, 1102, False, BMW_ISPI_ISTA-META_SDP_4.10.20, , ISTA Launcher, 1, http://127.0.0.1, 4.10.20
forDeliveringThroughApi, , FF3FAE666697400594A5807BD0F57406, BMW_ISPI_ISTA-META_SDP_4.10.21.xml, 1102, False, BMW_ISPI_ISTA-META_SDP_4.10.21, , ISTA Launcher, 1, http://127.0.0.1, 4.10.21
